code,name,sector,big,middle,small
62970,피피아이,통신장비,통신,통신장비,광파워분배기(스플리터)
87600,픽셀플러스,반도체및관련장비,반도체,비메모리_팹리스,"CCTV, 자동차"
291810,핀텔,일반소프트웨어,인터넷,소프트웨어,인공지능 영상분석 솔루션 
378340,필에너지,전자장비및기기,배터리,배터리_장비,2전지의 조립 공정 중 핵심 설비 제작
161580,필옵틱스,전자장비및기기,디스플레이,디스플레이_장비,레이저 응용 장비
347770,핌스,디스플레이및관련부품,디스플레이,디스플레이_소재,OLED 디스플레이 증착 공정에 사용되는 메탈 마스크
163730,핑거,IT서비스,인터넷,소프트웨어,스마트 금융 플랫폼 및 B2C 핀테크 서비스
417180,핑거스토리,미디어,방송미디어,애니메이션,온라인 만화 제작 및 유통업
86790,하나금융지주,상업은행,금융,금융지주,하나은행
299030,하나기술,전자장비및기기,배터리,배터리_장비,조립 및 설비제작
67310,하나마이크론,반도체및관련장비,반도체,반도체_패키징,반도체 패키징
166090,하나머티리얼즈,반도체및관련장비,반도체,반도체_소재,반도체 식각장비의 주요 소모품
293480,하나제약,제약,헬스케어,제약_완제의약품,(신경계) 마약성진통제 및 수술 및 진정에 쓰이는 마취제의약품
39130,하나투어,호텔및레저,내수,여행사,여행
136480,하림,식료품,음식료,육계,육계(닭)
3380,하림지주,식료품,지주사,지주사,지주사
101670,하이드로리튬,건설,배터리,배터리_소재,리튬
365590,하이딥,반도체및관련장비,반도체,비메모리_팹리스,모바일 디바이스용 Touch IC 설계 및 제조
149980,하이로닉,의료장비및서비스,헬스케어,의료기기_피부미용,피부미용의료기기
13030,하이록코리아,기계,기계,유체기계,"밸브, 스팀트랩"
352820,하이브,미디어,방송미디어,음반음원,엔터테인먼트
126700,하이비젼시스템,휴대폰및관련부품,스마트폰,카메라_검사장비,카메라모듈 검사장비
106080,하이소닉,휴대폰및관련부품,스마트폰,카메라_AF,AF액츄에이터 등
71090,하이스틸,금속및광물,기초소재,철강_강관,강관 제조
221840,하이즈항공,운송인프라,운송,항공_부품,항공기용 부품 제조업
106190,하이텍팜,제약,헬스케어,제약_원료의약품,원료의약사업
19490,하이트론,보안장비,보안,물리보안,영상보안장비 산업
80,하이트진로,음료,음식료,주류,"참이슬, 하이트"
140,하이트진로홀딩스,음료,지주사,지주사,지주사
65650,하이퍼코퍼레이션,컴퓨터및주변기기,모름,모름,모름
66130,하츠,내구소비재,전자제품,가정용_전자제품,레인지후드
4590,한국가구,식료품,건설,가구_가정용,가정용 가구
36460,한국가스공사,가스,에너지,도시가스,가스 제조 및 배관공급업
39340,한국경제TV,미디어,인터넷,온라인정보,증권경제 정보 제공
5430,한국공항,항공운수,운송,항공_운송,항공운수보조사업
71050,한국금융지주,증권,금융,금융지주,한국투자증권 등
34950,한국기업평가,상업서비스,전문서비스,신용정보,신용평가
